family,pair,src,donor,layer,acc_src,acc_donor,other
nonce,prepend_first->append_last,prepend_first,append_last,21,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,22,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,23,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,24,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,25,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,26,0.0,0.0,1.0
nonce,prepend_first->append_last,prepend_first,append_last,27,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,0,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,1,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,2,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,3,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,4,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,5,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,6,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,7,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,8,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,9,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,10,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,11,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,12,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,13,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,14,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,15,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,16,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,17,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,18,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,19,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,20,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,21,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,22,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,23,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,24,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,25,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,26,0.0,0.0,1.0
nonce,prepend_first->drop_first,prepend_first,drop_first,27,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,0,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,1,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,2,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,3,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,4,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,5,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,6,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,7,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,8,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,9,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,10,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,11,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,12,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,13,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,14,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,15,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,16,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,17,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,18,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,19,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,20,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,21,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,22,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,23,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,24,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,25,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,26,0.0,0.0,1.0
nonce,prepend_first->drop_last,prepend_first,drop_last,27,0.0,0.0,1.0
nonce,prepend_first->reverse,prepend_first,reverse,0,0.0,0.0,1.0
nonce,prepend_first->reverse,prepend_first,reverse,1,0.0,0.0,1.0
nonce,prepend_first->reverse,prepend_first,reverse,2,0.0,0.0,1.0
nonce,prepend_first->reverse,prepend_first,reverse,3,0.0,0.0,1.0
